capital = 249 #Kazan

#oob = "TAT_1888"

set_research_slots = 3

# Starting tech
set_technology = {
	infantry_weapons = 1
	infantry_weapons1 = 1
	tech_recon = 1
	tech_support = 1		
	tech_engineers = 1
	tech_military_police = 1
	tech_mountaineers = 1
	motorised_infantry = 1
	paratroopers = 1
	gw_artillery = 1
	early_fighter = 1
	fighter1 = 1
	early_bomber = 1
	strategic_bomber1 = 1
	naval_bomber1 = 1
	mass_assault = 1
	fleet_in_being = 1
}

set_politics = {
	ruling_party = monarchist
	last_election = "1888.1.1"
	election_frequency = 48
	elections_allowed = no
}

set_popularities = {
	nationalist = 0
	monarchist = 40
	conservative = 10
	centrist = 10
	liberal = 30
	socialist = 10
	marxist = 0
}
